severity,same_phrase,phrase
1,B,Even though I'm an adult my face keeps breaking out in pimples.
1,B,Even though I'm an adult my face keeps breaking out in pimples.
1,B,Even though I'm an adult my face keeps breaking out in pimples.
1,B,Even though I'm an adult my face keeps breaking out in pimples.
1,B,Even though I'm an adult my face keeps breaking out in pimples.
1,B,Even though I'm an adult my face keeps breaking out in pimples.
1,B,Even though I'm an adult my face keeps breaking out in pimples.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
0,A,Every morning when I wake up my neck feels like I slept on in wrong.
1,B,Every time I comb my hair there are so many hair in my comb.
1,B,Every time I comb my hair there are so many hair in my comb.
1,B,Every time I comb my hair there are so many hair in my comb.
1,B,Every time I comb my hair there are so many hair in my comb.
1,B,Every time I comb my hair there are so many hair in my comb.
1,B,Every time I comb my hair there are so many hair in my comb.
1,B,Every time I comb my hair there are so many hair in my comb.
1,B,Every time I comb my hair there are so many hair in my comb.
1,B,Every time I comb my hair there are so many hair in my comb.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,Every time I look to left I feel a sharp pain in my neck.
1,B,"Every time I make an effort, I felt dizzy."
1,B,"Every time I make an effort, I felt dizzy."
1,B,"Every time I make an effort, I felt dizzy."
1,B,"Every time I make an effort, I felt dizzy."
1,B,"Every time I make an effort, I felt dizzy."
1,B,"Every time I make an effort, I felt dizzy."
1,B,"Every time I make an effort, I felt dizzy."
1,B,"Every time I make an effort, I felt dizzy."
1,B,"Every time I make an effort, I felt dizzy."
1,B,Every time I take a deep breath I start coughing
1,B,Every time I take a deep breath I start coughing
1,B,Every time I take a deep breath I start coughing
1,B,Every time I take a deep breath I start coughing
1,B,Every time I take a deep breath I start coughing
1,B,Every time I take a deep breath I start coughing
1,B,Every time I take a deep breath I start coughing
1,B,Every time I take a deep breath I start coughing
1,B,Every time it rains I get hives on my belly and sides.
1,B,Every time it rains I get hives on my belly and sides.
1,B,Every time it rains I get hives on my belly and sides.
1,B,Every time it rains I get hives on my belly and sides.
1,B,Every time it rains I get hives on my belly and sides.
1,B,Every time it rains I get hives on my belly and sides.
1,B,Every time it rains I get hives on my belly and sides.
1,B,Everything looks like beeing in a smoky area.
0,A,Everything looks like beeing in a smoky area.
0,A,Everything looks like beeing in a smoky area.
0,A,Everything looks like beeing in a smoky area.
0,A,Everything looks like beeing in a smoky area.
0,A,Everything looks like beeing in a smoky area.
0,A,Everything looks like beeing in a smoky area.
0,A,Everything looks like beeing in a smoky area.
0,A,Everything looks like beeing in a smoky area.
0,A,Everything looks like beeing in a smoky area.
1,B,Feel like something is being jabbed into my joints
0,A,Feel like something is being jabbed into my joints
0,A,Feel like something is being jabbed into my joints
0,A,Feel like something is being jabbed into my joints
0,A,Feel like something is being jabbed into my joints
0,A,Feel like something is being jabbed into my joints
1,B,Feels like there are pins and needles sticking in my joints
1,B,Feels like there are pins and needles sticking in my joints
1,B,Feels like there are pins and needles sticking in my joints
1,B,Feels like there are pins and needles sticking in my joints
1,B,Feels like there are pins and needles sticking in my joints
1,B,Feels like there are pins and needles sticking in my joints
1,B,Feels like there are pins and needles sticking in my joints
1,B,Feels like there are pins and needles sticking in my joints
1,B,Feels like there are pins and needles sticking in my joints
1,B,Feels like there are pins and needles sticking in my joints
1,B,fell skull is cracked like nuts
1,B,fell skull is cracked like nuts
1,B,fell skull is cracked like nuts
1,B,fell skull is cracked like nuts
1,B,fell skull is cracked like nuts
1,B,fell skull is cracked like nuts
1,B,fell skull is cracked like nuts
1,B,fell skull is cracked like nuts
1,B,fell skull is cracked like nuts
1,B,fell skull is cracked like nuts
1,B,fell skull is cracked like nuts
1,B,glass broken and wound my leg badly the wound is so wide
1,B,glass broken and wound my leg badly the wound is so wide
1,B,glass broken and wound my leg badly the wound is so wide
1,B,glass broken and wound my leg badly the wound is so wide
1,B,glass broken and wound my leg badly the wound is so wide
1,B,glass broken and wound my leg badly the wound is so wide
1,B,glass broken and wound my leg badly the wound is so wide
1,B,glass broken and wound my leg badly the wound is so wide
1,B,glass broken and wound my leg badly the wound is so wide
1,B,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
1,B,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
1,B,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
1,B,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
1,B,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
1,B,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
1,B,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
1,B,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
1,B,Have severe cold and cough
1,B,Have severe cold and cough
1,B,Have severe cold and cough
1,B,Have severe cold and cough
1,B,Have severe cold and cough
1,B,Have severe cold and cough
1,B,Have severe cold and cough
1,B,Have severe cold and cough
1,B,Have severe cold and cough
1,B,Have severe cold and cough
1,B,having difficulty moving my knee
1,B,having difficulty moving my knee
1,B,having difficulty moving my knee
1,B,having difficulty moving my knee
1,B,having difficulty moving my knee
1,B,having difficulty moving my knee
1,B,having difficulty moving my knee
1,B,having difficulty moving my knee
1,B,having difficulty moving my knee
1,B,He was discovered to have an open wound.
1,B,He was discovered to have an open wound.
1,B,He was discovered to have an open wound.
1,B,He was discovered to have an open wound.
1,B,He was discovered to have an open wound.
1,B,He was discovered to have an open wound.
1,B,He was discovered to have an open wound.
1,B,He was discovered to have an open wound.
1,B,He was discovered to have an open wound.
1,B,He was discovered to have an open wound.
0,A,Hearing any loud sounds makes my ear aches
0,A,Hearing any loud sounds makes my ear aches
0,A,Hearing any loud sounds makes my ear aches
0,A,Hearing any loud sounds makes my ear aches
0,A,Hearing any loud sounds makes my ear aches
0,A,Hearing any loud sounds makes my ear aches
0,A,Hearing any loud sounds makes my ear aches
0,A,Hearing any loud sounds makes my ear aches
0,A,Hearing any loud sounds makes my ear aches
0,A,Hearing any loud sounds makes my ear aches
0,A,Hearing any loud sounds makes my ear aches
0,A,heart aches so much
0,A,heart aches so much
0,A,heart aches so much
0,A,heart aches so much
0,A,heart aches so much
0,A,heart aches so much
0,A,heart aches so much
0,A,heart aches so much
0,A,heart aches so much
0,A,heart aches so much
1,B,heavy breath with fatigue
1,B,heavy breath with fatigue
1,B,heavy breath with fatigue
1,B,heavy breath with fatigue
1,B,heavy breath with fatigue
1,B,heavy breath with fatigue
1,B,heavy breath with fatigue
1,B,heavy breath with fatigue
1,B,heavy breath with fatigue
1,B,His infected wound was beginning to rot.
1,B,His infected wound was beginning to rot.
1,B,His infected wound was beginning to rot.
1,B,His infected wound was beginning to rot.
1,B,His infected wound was beginning to rot.
1,B,His infected wound was beginning to rot.
1,B,His infected wound was beginning to rot.
1,B,His infected wound was beginning to rot.
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,How do you know if you have a torn meniscus in your knee?
1,B,I always feel like I have menstrual pains even if I don't have my period.
1,B,I always feel like I have menstrual pains even if I don't have my period.
1,B,I always feel like I have menstrual pains even if I don't have my period.
1,B,I always feel like I have menstrual pains even if I don't have my period.
1,B,I always feel like I have menstrual pains even if I don't have my period.
1,B,I always feel like I have menstrual pains even if I don't have my period.
1,B,I always feel like I have menstrual pains even if I don't have my period.
1,B,"I am always cold, even when I am wearing layers"
1,B,"I am always cold, even when I am wearing layers"
1,B,"I am always cold, even when I am wearing layers"
1,B,"I am always cold, even when I am wearing layers"
1,B,"I am always cold, even when I am wearing layers"
1,B,"I am always cold, even when I am wearing layers"
1,B,"I am always cold, even when I am wearing layers"
1,B,"I am always cold, even when I am wearing layers"
1,B,"I am always cold, even when I am wearing layers"
1,B,"i am feeling so dizzy, body is so fragile."
1,B,"i am feeling so dizzy, body is so fragile."
1,B,"i am feeling so dizzy, body is so fragile."
1,B,"i am feeling so dizzy, body is so fragile."
1,B,"i am feeling so dizzy, body is so fragile."
1,B,"i am feeling so dizzy, body is so fragile."
1,B,"i am feeling so dizzy, body is so fragile."
1,B,"i am feeling so dizzy, body is so fragile."
1,B,i am having problems seeing things feel like a cloud on my eyes everything is blurry
1,B,i am having problems seeing things feel like a cloud on my eyes everything is blurry
1,B,i am having problems seeing things feel like a cloud on my eyes everything is blurry
1,B,i am having problems seeing things feel like a cloud on my eyes everything is blurry
1,B,i am having problems seeing things feel like a cloud on my eyes everything is blurry
1,B,i am having problems seeing things feel like a cloud on my eyes everything is blurry
1,B,i am having problems seeing things feel like a cloud on my eyes everything is blurry
1,B,i am having problems seeing things feel like a cloud on my eyes everything is blurry
0,A,I am having running nose
0,A,I am having running nose
0,A,I am having running nose
0,A,I am having running nose
0,A,I am having running nose
0,A,I am having running nose
0,A,I am having running nose
0,A,I am having running nose
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
1,B,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
1,B,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
1,B,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
1,B,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
1,B,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
1,B,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
0,A,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
0,A,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
0,A,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
0,A,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
0,A,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
0,A,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
0,A,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
0,A,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
0,A,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
0,A,I break out on my face very frequently
0,A,I break out on my face very frequently
0,A,I break out on my face very frequently
0,A,I break out on my face very frequently
0,A,I break out on my face very frequently
0,A,I break out on my face very frequently
0,A,I break out on my face very frequently
0,A,I break out on my face very frequently
0,A,I break out on my face very frequently
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,I broke my ankle while doing rock climbing in the Carpathians.
1,B,i can hardly breathe
1,B,i can hardly breathe
1,B,i can hardly breathe
1,B,i can hardly breathe
1,B,i can hardly breathe
1,B,i can hardly breathe
1,B,i can hardly breathe
1,B,i can hardly breathe
1,B,i can hardly breathe
1,B,i can hardly breathe
1,B,i can hardly breathe
1,B,I can hardly move my neck.  It hurts.
1,B,I can hardly move my neck.  It hurts.
1,B,I can hardly move my neck.  It hurts.
1,B,I can hardly move my neck.  It hurts.
1,B,I can hardly move my neck.  It hurts.
1,B,I can hardly move my neck.  It hurts.
1,B,I can hardly move my neck.  It hurts.
1,B,I can hardly move my neck.  It hurts.
1,B,I can hardly move my neck.  It hurts.
1,B,I can hardly move my neck.  It hurts.
1,B,I can hardly move my neck.  It hurts.
0,A,i can't breath because of  Cough
0,A,i can't breath because of  Cough
0,A,i can't breath because of  Cough
0,A,i can't breath because of  Cough
0,A,i can't breath because of  Cough
0,A,i can't breath because of  Cough
0,A,i can't breath because of  Cough
0,A,i can't breath because of  Cough
0,A,i can't breath because of  Cough
0,A,i can't breath because of  Cough
0,A,i can't breath because of  Cough
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't carry anything I have a pain in my shoulder
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
1,B,I can't do anything I feel a weak in my body
0,A,I can't get a girlfriend because of my acne.
0,A,I can't get a girlfriend because of my acne.
0,A,I can't get a girlfriend because of my acne.
0,A,I can't get a girlfriend because of my acne.
0,A,I can't get a girlfriend because of my acne.
0,A,I can't get a girlfriend because of my acne.
0,A,I can't get a girlfriend because of my acne.
0,A,I can't get a girlfriend because of my acne.
0,A,I can't get a girlfriend because of my acne.
0,A,I can't get a girlfriend because of my acne.
0,A,I can't get a girlfriend because of my acne.
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,"I can't hear out of my ear properly, I feel like there is something in it causing irritation."
1,B,I can't move my head up and down.
1,B,I can't move my head up and down.
1,B,I can't move my head up and down.
1,B,I can't move my head up and down.
1,B,I can't move my head up and down.
1,B,I can't move my head up and down.
1,B,I can't move my head up and down.
1,B,I can't move my head up and down.
1,B,I can't move my head up and down.
1,B,"i can't move my leg, there is pain in the joint"
1,B,"i can't move my leg, there is pain in the joint"
1,B,"i can't move my leg, there is pain in the joint"
1,B,"i can't move my leg, there is pain in the joint"
1,B,"i can't move my leg, there is pain in the joint"
1,B,"i can't move my leg, there is pain in the joint"
1,B,"i can't move my leg, there is pain in the joint"
1,B,"i can't move my leg, there is pain in the joint"
1,B,"i can't move my leg, there is pain in the joint"
1,B,"i can't move my leg, there is pain in the joint"
1,B,"i can't move my leg, there is pain in the joint"
1,B,i can't move my shoulder because of pain
1,B,i can't move my shoulder because of pain
1,B,i can't move my shoulder because of pain
1,B,i can't move my shoulder because of pain
1,B,i can't move my shoulder because of pain
1,B,i can't move my shoulder because of pain
1,B,i can't move my shoulder because of pain
1,B,i can't move my shoulder because of pain
1,B,I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.
1,B,I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.
1,B,I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.
1,B,I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.
1,B,I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.
1,B,I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't ride my car at night because i have blurry vision.
1,B,i can't rotate my neck
1,B,i can't rotate my neck
1,B,i can't rotate my neck
1,B,i can't rotate my neck
1,B,i can't rotate my neck
1,B,i can't rotate my neck
1,B,i can't rotate my neck
1,B,i can't rotate my neck
1,B,i can't rotate my neck
1,B,I can't see the sign I have a blurry vision
1,B,I can't see the sign I have a blurry vision
1,B,I can't see the sign I have a blurry vision
